batch_size,kernel_key,grid,block,static_shared,dynamic_shared,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,l2_gbps,l1_hit_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issued_warps_per_scheduler,no_eligible_pct,issue_active_pct,warp_cycles_barrier,warp_cycles_branch_resolving,warp_cycles_dispatch_stall,warp_cycles_drain,warp_cycles_imc_miss,warp_cycles_lg_throttle,warp_cycles_long_scoreboard,warp_cycles_math_pipe_throttle,warp_cycles_membar,warp_cycles_mio_throttle,warp_cycles_misc,warp_cycles_no_instruction,warp_cycles_not_selected,warp_cycles_selected,warp_cycles_short_scoreboard,warp_cycles_sleeping,warp_cycles_tex_throttle,warp_cycles_wait,stage,reference_total_ms,reference_count,samples,stage_rejected
1,loop_convert_fusion_7,"(576, 1, 1)","(128, 1, 1)",0,0,0.0060479999999999996,6.96,0.0,29.02,209.88359788360003,15.35,52.38,46.07,100.0,24.0,1024.0,17.0,415.70370370370006,36.79,5.75,0.16,0.1,89.87,10.13,0.0,0.08,0.29,0.26,5.99,0.52,44.3,0.45,0.0,0.13,0.0,0.53,0.58,1.0,0.58,0.0,0.0,1.58,vlm_embed,2.434257,810.0,1,
1,loop_convert_fusion_8,"(576, 1, 1)","(128, 1, 1)",0,0,0.004576,3.98,0.0,19.83,142.37762237762,12.15,60.16,46.48,100.0,16.0,1024.0,17.0,327.10489510490004,25.35,5.28,0.1,0.06,94.07,5.93,0.0,0.21,0.26,0.75,15.71,0.0,64.7,0.44,0.0,0.35,0.02,1.27,0.73,1.0,1.21,0.0,0.0,2.49,vlm_embed,2.606959,810.0,1,
1,loop_convert_fusion_9,"(576, 1, 1)","(128, 1, 1)",0,0,0.005808,5.5,0.0,45.55,330.54886122077505,18.285,38.165,46.515,100.0,19.0,1024.0,17.0,496.450819921045,40.22,5.585,0.12,0.08,92.225,7.775,0.0,0.11,0.31,0.37,8.365,0.45,58.075,0.415,0.0,0.195,0.01,0.75,0.53,1.0,0.63,0.0,0.0,1.34,vlm_embed,3.186489,810.0,2,
1,loop_cosine_sine_fusion,"(968, 1, 1)","(128, 1, 1)",0,0,0.0033599999999999997,16.17,0.0,5.19,37.48571428571,13.6,95.63,67.56,100.0,25.0,1024.0,17.0,368.53333333333006,34.66,8.21,1.25,0.33,67.04,32.96,0.0,0.42,0.45,0.31,5.2,0.16,10.36,1.01,0.0,0.13,0.01,0.86,2.79,1.0,0.53,0.0,0.0,1.38,vlm_prefill,0.471971,180.0,1,
1,loop_divide_fusion,"(294, 1, 1)","(128, 1, 1)",0,0,0.003328,2.54,0.0,27.25,197.19230769231,14.72,54.42,22.08,100.0,16.0,1024.0,17.0,398.10576923077,2.81,2.86,0.06,0.05,94.97,5.03,0.0,0.2,0.07,0.84,17.97,0.0,33.99,0.11,0.0,0.05,0.02,1.21,0.22,1.0,0.47,0.0,0.0,1.25,unattributed,0.050592,30.0,1,
1,loop_dynamic_slice_fusion_12,"(2592, 1, 1)","(128, 1, 1)",0,0,0.024288,4.96,0.0,83.75,610.18181818182,35.55,50.39,71.98,100.0,16.0,1024.0,17.0,661.16073781291,2.02,8.98,0.05,0.03,97.44,2.56,0.0,0.28,0.43,36.73,5.59,40.23,231.33,1.07,0.0,14.46,0.01,0.78,1.11,1.0,11.07,0.0,0.0,2.36,vlm_embed,20.481278,810.0,1,
1,loop_dynamic_update_slice_fusion,"(484, 1, 1)","(128, 1, 1)",0,0,0.003552,3.52,0.0,22.62,163.31531531532002,11.44,54.69,34.69,100.0,16.0,1024.0,17.0,310.6036036036,5.63,4.4,0.1,0.06,94.11,5.89,0.0,0.3,0.1,1.0,23.89,0.01,43.62,0.37,0.0,0.0,0.02,1.83,0.63,1.0,0.71,0.0,0.0,1.92,vlm_prefill,0.479458,180.0,1,
1,loop_dynamic_update_slice_fusion_1,"(484, 1, 1)","(128, 1, 1)",0,0,0.0036479999999999998,3.48,0.0,19.17,138.63157894737,11.24,54.8,34.03,100.0,16.0,1024.0,17.0,303.14912280702003,5.63,4.16,0.09,0.06,94.39,5.61,0.0,0.3,0.09,0.98,25.28,0.01,41.26,0.38,0.0,0.0,0.02,1.85,0.63,1.0,0.73,0.0,0.0,1.92,vlm_prefill,0.503009,180.0,1,
1,loop_multiply_fusion,"(294, 1, 1)","(128, 1, 1)",0,0,0.003232,1.95,0.0,26.26,190.37623762376003,15.16,54.09,22.49,100.0,16.0,1024.0,17.0,410.40594059406004,2.81,2.85,0.04,0.03,96.76,3.24,0.0,0.3,0.22,1.29,28.46,0.0,52.74,0.16,0.0,0.0,0.0,1.83,0.27,1.0,1.06,0.0,0.0,0.92,action,0.050336,30.0,1,
1,loop_multiply_fusion,"(3, 1, 1)","(128, 1, 1)",0,0,0.002208,0.13,0.0,0.33,2.3768115942,1.33,92.58,7.21,100.0,16.0,1024.0,17.0,35.92753623188,14.0,1.01,0.09,0.09,91.25,8.75,0.0,0.05,0.0,0.13,4.77,0.0,2.35,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.22,0.0,0.0,2.04,action,0.015936,10.0,1,
